 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
10,MARET,13/03/2024,SEKRETARIAT LSM GMBI DISTRIK TULANG BAWANG,MGA,e. CANCEL,BTO,DBS,50 MBPS,METRO
12,MARET,14/03/2024,ATHAR PHOTO COPY,PRW,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
,MARET,12/03/2024,PT. HANEL PUTRA TELEKOMUNIKASI  ,PJN,e. CANCEL,GTM,DGS,50 MBPS,INNER
,MARET,12/03/2024,PT. HANEL PUTRA TELEKOMUNIKASI  ,PJN,e. CANCEL,GTM,DGS,50 MBPS,INNER
13,MARET,14/03/2024,DINAS KEPEMUDAAN OLAHRAGA DAN PARIWISATA,PRW,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
8,MARET,14/03/2024,CV PURNAMA JAYA AKBAR - NE,MGA,e. CANCEL,BTO,DBS,300 MBPS,METRO
6,MARET,13/03/2024,PT. Artacomindo Jejaring Nusa _CAMPANG RAYA  ,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,30 MBPS,INNER
6,MARET,15/03/2024,Toko Umi Rabbani qq M Syarif Hidayatullah,BDA,a. PS,BTO,DBS,200 MBPS,METRO
3,MARET,16/03/2024,UPTD PUSKESMAS PURWOSARI,MET,a. PS,GTM,DBS,75 MBPS,METRO
8,MARET,16/03/2024,SARPRAS Polres Lampung Tengah,BDA,a. PS,BTO,DGS,50MBPS,METRO
4,MARET,14/03/2024,PT Ranso Welvarindo  ,SPS,BUTUH PT4,KPU,DBS,50 MBPS,INNER
10,MARET,14/03/2024,DAM RAMAN  ,MET,e. CANCEL,GTM,DBS,50 MBPS,METRO
16,MARET,14/03/2024,KIMIA FARMA,KBI,a. PS,GTM,DES,50 MBPS,PRINGSEWU
7,MARET,15/03/2024,SMAN 1 PENAWAR TAMA,UNT,KENDALA BUTUH PT2NS/PT3,TA,DBS,300 MBPS,METRO
20,MARET,14/03/2024,S. Ruang Satbinmas Polres Mura,PRW,e. CANCEL,BTO,DGS,50 MBPS,PRINGSEWU
21,MARET,14/03/2024,PT PLN (PERSERO) UP3 PRINGSEWU    ,PRW,e. CANCEL,BTO,DGS,VOICE,PRINGSEWU
8,MARET,15/03/2024,SMK NEGERI 4 METRO,MET,KENDALA BUTUH PT2NS/PT3,GTM,DBS,300 MBPS,METRO
2,MARET,18/03/2024,M Aditya Pratama ,LKP,a. PS,LKP,DBS,100 MBPS,INNER
1,MARET,26/03/2024,PT NUSANTARA EKSPRES KILAT ,NTR,a. PS,BTO,DBS,50 MBPS,INNER
12,MARET,15/03/2024,PT. Artacomindo Jejaring Nusa _ L777- LINTAS PESAWARAN,GDT,a. PS,BTO,DBS,30 MBPS,PRINGSEWU
13,MARET,15/03/2024,PT PLN (PERSERO) UP3 PRINGSEWU,PRW,a. PS,BTO,DGS,VOICE,PRINGSEWU
14,MARET,15/03/2024,TOKO NARTY BAKERY,PRW,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
15,MARET,15/03/2024,TEHNIC COMPUTER TEBA,KOT,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
16,MARET,15/03/2024,BUTIK UMAYESHA,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
17,MARET,15/03/2024,PT PERTAMINA GEOTHERMAL ENERGY ,TGP,a. PS,BTO,DBS,VOICE,PRINGSEWU
5,MARET,16/03/2024,SMP MUHAMMADIYA 1 WONOSOBO,KOT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
2,MARET,16/03/2024,CABRIO RESTO & COFFE POOL ITERA,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,100MBPS,INNER
3,MARET,26/03/2024,PT TUNAS MOBILINDO PERKASA,KDT,a. PS,BTO,DBS,100MBPS,INNER
2,MARET,17/03/2024,IKAN GILING AURA BELA,TJK,a. PS,KPU,DBS,70 MBPS,INNER
3,MARET,17/03/2024,PT Bank BJB,TJK,a. PS,KPU,DBS,50 MBPS,INNER
5,MARET,17/03/2024,TOKO SRC MARNI,SKD,a. PS,GTM,DBS,200 MBPS,METRO
8,MARET,17/03/2024,Kampung Linux Ambarawa,PRW,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
3,MARET,18/03/2024,CV GUYUB ADVERTISING,TJK,a. PS,KPU,DBS,150 MBPS,INNER
4,MARET,18/03/2024,TOKO BAJU ZIKI,KLA,a. PS,KPU,DBS,150 MBPS,INNER
5,MARET,18/03/2024,TOKO TATA,TJK,a. PS,KPU,DBS,150 MBPS,INNER
6,MARET,18/03/2024,ODN POULTRY SHOP,KLA,a. PS,KPU,DBS,50 MBPS,INNER
8,MARET,18/03/2024,RM PAK SELAMET,UNT,a. PS,TA,DBS,300 MBPS,METRO
2,MARET,19/03/2024,DINAS KELAUTAN DAN PERIKANAN PROVINSI LAMPUNG,TJK,a. PS,KPU,DGS,100 MBPS,INNER
9,MARET,18/03/2024,KANTOR KEMENTERIAN AGAMA KABUPATEN LAMPUNG TIMUR,SKD,a. PS,GTM,DBS,200 MBPS,METRO
10,MARET,18/03/2024,RADIO SIP FM SIMPANG ,UNT,a. PS,TA,DBS,300 MBPS,METRO
13,MARET,18/03/2024,TOKO ALZI,PRW,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
14,MARET,18/03/2024,KANTOR PEKON GUMUKMAS  ,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
15,MARET,18/03/2024,MASJID ISTIQOMAH,BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
16,MARET,18/03/2024,KANTOR KADIN WAYKANAN  ,BDU,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
17,MARET,18/03/2024, KLINIK & BIDAN SUGIYARTI ,PRW,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
11,MARET,19/03/2024,KIMIA FARMA,KPU,a. PS,KPU,DES,50 MBPS,INNER
3,MARET,19/03/2024,KLINIK UTAMA RAHAYU QQ IT,BDA,a. PS,BTO,DBS,50 MBPS,METRO
4,MARET,19/03/2024,AR-RIDHO PERCETAKAN PHOTO COPY ,MGA,a. PS,BTO,DBS,50 MBPS,METRO
5,MARET,19/03/2024,YAYASAN PARAMARTA,MET,a. PS,GTM,DBS,150 MBPS,METRO
10,MARET,19/03/2024,PT BUMEN REDJA ABADI ,UNT,a. PS,TA,DBS,100 MBPS,METRO
6,MARET,19/03/2024,DINAS PENDIDIKAN WILAYAH III,LIW,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
7,MARET,19/03/2024,UPT SMP NEGERI 1 PAGELARAN,PRW,a. PS,BTO,DBS,150 MBPS,PRINGSEWU
8,MARET,19/03/2024,DINAS KOMINFO KOTA AGUNG,KOT,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
9,MARET,19/03/2024,SMA PGRI PAGELARAN ,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
2,MARET,26/03/2024,Sompo Insurance Indonesia,TJK,a. PS,KPU,DES,50 MBPS,INNER
12,MARET,19/03/2024,TOKO PRAMUKA,KLR,e. CANCEL,BTO,DBS,150 MBPS,PRINGSEWU
1,MARET,20/03/2024,RUMDIN BAPENDA TUBA  ,KDT,a. PS,STN,DGS,30 MBPS,INNER
1,MARET,20/03/2024,PT UNITED TRACTORS LAMPUNG,KDT,a. PS,BTO,DBS,50 MBPS,INNER
3,MARET,20/03/2024,BPN KANWIL PROV LAMPUNG  ,TJK,a. PS,KPU,DGS,50 MBPS,INNER
2,MARET,20/03/2024,BACKSPACE COMPUTER  ,SPS,a. PS,KPU,DBS,150 MBPS,INNER
3,MARET,20/03/2024,Tomoro cofee - unila lampung,KDT,a. PS,BTO,DBS,50 MBPS,INNER
4,MARET,20/03/2024,VAI VARIASI DAN SPAREPART MOBIL,MET,a. PS,GTM,DBS,300 MBPS,METRO
5,MARET,19/03/2024,HOTEL KEAN AKBAR ,UNT,a. PS,TA,DBS,50 MBPS,METRO
6,MARET,20/03/2024,PANGKALAN LPG 3 KG AGUS HAMDANI,MGA,a. PS,BTO,DBS,50 MBPS,METRO
7,MARET,20/03/2024,WARNET GAME ONLINE L.A,UNT,a. PS,TA,DBS,300 MBPS,METRO
